"dia","horas","justificativa"
"03/03/2026",0.33,"ajuste de aperto do swivel"
"04/03/2026",5.25,"Troca do parafuso gaxeta/solda no vazamento da conex횄짙o kelly, separando kelly p/manuten횄짠횄짙o."
"05/03/2026",2.17,"Troca do parafuso gaxeta/refor횄짠o da solda do kelly"
"06/03/2026",2,"DTS/ administrativo/ manuten횄짠횄짙o das mangueiras"
"08/04/2026",2.73,"Reparo tubo do fole da embreagem"
"10/04/2026",5,"Troca da graxeta da bomba centrifuga/Revis횄짙o da bomba"
"12/04/2026",4,"Reparo por solda no underreamer/falta de equipe"
"13/04/2026",8,"Arrumando fole da embreagem de mesa/Arrumando fole da sonda."
"14/04/2026",6.25,"Arrumando junta da bomba / apertando o suiwel / arrumando mangueira e conex횄짙o de ar do fole de mesa"
"15/04/2026",4,"Aguardando pe횄짠as do underreamer (pinos do bra횄짠o)/falta de equipe"
"16/04/2026",4,"Manuten횄짠횄짙o do underreamer"
"17/2/2026",3.33,"Deslocamento / manuten횄짠횄짙o do equipamento"
"18/04/2026",2,"Manuten횄짠횄짙o do underreamer/manuten횄짠횄짙o da bomba emsco"
"19/2/2026",4,"Fazendo instala횄짠횄짙o eletrica"
"20/03/2026",10,"verifica횄짠횄짙o do fluido, mau funcionamento na sonda/ deslocamento para buscar compressor"
"24/03/2026",7.5,"Transporte do pino da catarina para a tornearia"
"24/04/2026",1.17,"Manuten횄짠횄짙o sistema de sc횄짠횄짙o bomba emsco"
"24/2/2026",2.75,"Manuten횄짠횄짙o na bomba Gardner Denver"
"25/2/2026",6.67,"Manuten횄짠횄짙o e ajustes das bombas duplex e centrifuga"
"28/03/2026",5,"Deslocamento para buscar fole de embreagem"
"29/03/2026",2.33,"Aguardando broca/defeito no fole/arrumando as mangueiras."
"30/03/2026",2.5,"Arrumando ar do fole/ aguardando Torrista"
"31/03/2026",5.5,"Reparo no fole da engrenagem - paraliza횄짠횄짙o por motivos climaticos."
